"metadata_id","consolidation_info","created_at","latest_version_for_type","message_name","message_source","metadata_info","mobile_app_name","notes","notification_type","notification_type_template_version","pinpoint_app_name","preference_ids","recipient_group","recipient_type","recipient_type_attribute","template_id","template_processor","template_provider","template_version","transform_event_mapping","updated_at"
"ca21ec55-8e50-4da8-afb7-3de31f42401f","","2021-06-29T00:10:30.598868","","test_metadata_-CORE-0000","cs","","","Placeholder notes - updated for test","EMAIL","EMAIL#1","","","","[{""S"":""default""}]","","test_metadata.json","PINPOINT","PINPOINT","1","","2022-01-04T18:50:34.774187"
"07553046-06fb-478e-840f-b1dca8787a84","","2022-04-26T05:17:25.498669","","test_metadata__plat_1728","CS","","","Placeholder notes","EMAIL","EMAIL#1","","[]","","[{""S"":""default""}]","","pre-order-confirmation.json","PINPOINT","PINPOINT","2","","2022-04-26T05:17:25.833821"
"1d43ee1f-11d8-412e-a13c-de99b6968fdf","","2021-07-03T00:45:19.940675","","test_metadata_-core-6194","CS","","","Placeholder notes","EMAIL","EMAIL#1","","","","[{""S"":""default""}]","","test_metadata.json","PINPOINT","PINPOINT","6","","2022-01-04T18:50:34.785949"
"2cd98ca3-0815-44fc-81c4-6b3e2248ae5d","","2022-07-13T00:07:33.952904","","test_metadata__plat_2575","CS","","","Placeholder notes","EMAIL","EMAIL#1","MESSAGE_PROVIDER_APP_ID","","","[{""S"":""default""}]","","pre-order-confirmation.json","PINPOINT","PINPOINT","1","","2022-07-13T00:07:35.209738"
"66c118c3-87b8-4531-98c0-1738f4e2cd8b","","2022-11-09T21:12:30.954444","","test_metadata__plat_3226","CS","","","Placeholder notes","EMAIL","EMAIL#5","MESSAGE_PROVIDER_APP_ID","","","[{""S"":""default""}]","","pre-order-confirmation.json","PINPOINT","PINPOINT","5","","2022-11-09T21:12:32.283839"
"410d52d6-ef0a-456b-b980-6fad7276c990","","2022-01-13T22:28:36.137612","","test_metadata__core_10274","CS","","","Placeholder notes","EMAIL","EMAIL#1","","","","[{""S"":""default""}]","","pre-order-confirmation.json","PINPOINT","PINPOINT","1","","2022-01-13T22:28:36.311965"
"33dc19d5-d921-45af-a00b-6c63684992bc","","2022-05-09T18:12:15.117953","","test_metadata__plat_1530","CS","","","Placeholder notes","EMAIL","EMAIL#1","","[]","","[{""S"":""default""}]","","pre-order-confirmation.json","PINPOINT","PINPOINT","1","","2022-05-09T18:12:17.278108"
"ae28128b-f731-4e16-aa2b-6a4b331845ce","","2022-01-07T19:11:09.035412","EMAIL","newman_tests_02a46533_0f1c_461c_a3ef_f3c78639cf61","VS","{""reply_to_email"":{""S"":""test@rivian.com""},""from_email"":{""S"":""test@rivian.com""},""appointment_status"":{""L"":[{""S"":""test_appointment_status""}]},""activity_type"":{""L"":[{""S"":""test_activity_type""}]},""consumer_type"":{""L"":[{""S"":""test_consumer_type""}]},""activity_code"":{""L"":[{""S"":""test_activity_code""}]},""source"":{""L"":[{""S"":""cs""}]},""from_name"":{""S"":""newman-tests""},""time_delta"":{""L"":[{""S"":""1d""}]}}","","","EMAIL","EMAIL#1","","","","DEFAULT","","pre-order-confirmation.json","PINPOINT","TEMPLATE_API","1","","2022-01-07T19:11:09.035412"
"d2dae99a-2e44-450c-8f3f-78459db3fe74","","2022-09-07T23:37:09.684457","","test_metadata__core_10750","CS","","","Placeholder notes","EMAIL","EMAIL#1","MESSAGE_PROVIDER_APP_ID","","","[{""S"":""default""}]","","pre-order-confirmation.json","PINPOINT","PINPOINT","6","","2022-09-07T23:37:09.975661"
"9de77eaf-e574-4415-97c1-f59912670aa3","","2022-08-26T00:37:57.063224","","test_metadata__core_12431","CS","","","Placeholder notes","EMAIL","EMAIL#1","MESSAGE_PROVIDER_APP_ID","","","[{""S"":""default""}]","","pre-order-confirmation.json","PINPOINT","PINPOINT","1","","2022-08-26T00:37:58.021144"
